	Time Stamps	Temp	Dew Point	Humidity	Pressure	Visibility	Wind Direction	Wind Speed	Gust Speed	Precipitation	Events	Conditions
14	7/27/1996 -- 2:52 PM	72.0 °F	61.0 °F	68%	30.08 in	10.0 mi	West	8.1 mph	  -	N/A	"	 "	Overcast
15	7/27/1996 -- 3:52 PM	71.1 °F	64.9 °F	81%	30.08 in	9.0 mi	Variable	3.5 mph	  -	N/A	Rain	Light Rain
16	7/27/1996 -- 4:52 PM	73.9 °F	64.9 °F	73%	30.08 in	10.0 mi	SSW	5.8 mph	  -	N/A	"	 "	Mostly Cloudy
17	7/27/1996 -- 5:52 PM	75.0 °F	62.1 °F	64%	30.09 in	10.0 mi	WSW	12.7 mph	16.1 mph	N/A	"	 "	Partly Cloudy
18	7/27/1996 -- 6:52 PM	73.0 °F	59.0 °F	61%	30.10 in	10.0 mi	West	10.4 mph	  -	N/A	"	 "	Scattered Clouds
19	7/27/1996 -- 7:52 PM	70.0 °F	60.1 °F	71%	30.11 in	10.0 mi	West	9.2 mph	  -	N/A	"	 "	Partly Cloudy
20	7/27/1996 -- 8:52 PM	66.9 °F	61.0 °F	81%	30.13 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
21	7/27/1996 -- 9:52 PM	64.0 °F	61.0 °F	90%	30.15 in	10.0 mi	East	4.6 mph	  -	N/A	"	 "	Scattered Clouds
22	7/27/1996 -- 10:52 PM	64.9 °F	62.1 °F	90%	30.17 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Mostly Cloudy
23	7/27/1996 -- 11:52 PM	63.0 °F	62.1 °F	97%	30.19 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Mostly Cloudy
24	7/26/1996 -- 12:52 AM	70.0 °F	68.0 °F	93%	29.94 in	4.0 mi	East	5.8 mph	  -	N/A	"	 "	Overcast
25	7/26/1996 -- 1:52 AM	70.0 °F	68.0 °F	93%	29.93 in	4.0 mi	East	5.8 mph	  -	N/A	"	 "	Overcast
26	7/26/1996 -- 2:52 AM	69.1 °F	68.0 °F	96%	29.93 in	4.0 mi	Calm	Calm	  -	N/A	Rain	Light Rain
27	7/26/1996 -- 3:52 AM	68.0 °F	68.0 °F	100%	29.91 in	2.0 mi	Calm	Calm	  -	N/A	Rain	Light Rain
28	7/26/1996 -- 4:52 AM	68.0 °F	68.0 °F	100%	29.91 in	1.5 mi	Calm	Calm	  -	N/A	Rain	Light Rain
29	7/26/1996 -- 5:52 AM	68.0 °F	68.0 °F	100%	29.92 in	1.5 mi	Calm	Calm	  -	N/A	Rain	Light Rain
30	7/26/1996 -- 6:52 AM	68.0 °F	68.0 °F	100%	29.92 in	1.5 mi	ENE	3.5 mph	  -	N/A	Rain	Light Rain
31	7/26/1996 -- 7:52 AM	69.1 °F	68.0 °F	96%	29.94 in	1.5 mi	Calm	Calm	  -	N/A	Rain	Light Rain
32	7/26/1996 -- 8:52 AM	69.1 °F	68.0 °F	96%	29.93 in	5.0 mi	Calm	Calm	  -	N/A	Rain	Light Rain
33	7/26/1996 -- 9:52 AM	69.1 °F	68.0 °F	96%	29.93 in	5.0 mi	Variable	4.6 mph	  -	N/A	"	 "	Partly Cloudy
34	7/26/1996 -- 10:52 AM	71.1 °F	68.0 °F	90%	29.94 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
35	7/26/1996 -- 11:52 AM	71.1 °F	66.9 °F	87%	29.94 in	8.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
36	7/26/1996 -- 12:52 PM	75.0 °F	68.0 °F	79%	29.92 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Mostly Cloudy
37	7/26/1996 -- 1:52 PM	78.1 °F	68.0 °F	71%	29.90 in	10.0 mi	Variable	3.5 mph	  -	N/A	"	 "	Partly Cloudy
38	7/26/1996 -- 2:52 PM	78.1 °F	66.0 °F	66%	29.88 in	10.0 mi	Variable	4.6 mph	  -	N/A	"	 "	Scattered Clouds
39	7/26/1996 -- 3:52 PM	81.0 °F	66.9 °F	62%	29.87 in	10.0 mi	NNW	5.8 mph	  -	N/A	"	 "	Partly Cloudy
40	7/26/1996 -- 4:52 PM	80.1 °F	64.9 °F	60%	29.88 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Partly Cloudy
41	7/26/1996 -- 5:52 PM	78.1 °F	66.0 °F	66%	29.89 in	10.0 mi	Variable	4.6 mph	  -	N/A	"	 "	Scattered Clouds
42	7/26/1996 -- 6:52 PM	73.0 °F	61.0 °F	66%	29.92 in	10.0 mi	SW	6.9 mph	  -	N/A	"	 "	Clear
43	7/26/1996 -- 7:52 PM	70.0 °F	62.1 °F	76%	29.95 in	10.0 mi	Variable	3.5 mph	  -	N/A	"	 "	Mostly Cloudy
44	7/26/1996 -- 8:52 PM	64.9 °F	62.1 °F	90%	29.96 in	5.0 mi	NW	3.5 mph	  -	N/A	Rain	Rain
45	7/25/1996 -- 12:52 AM	66.9 °F	66.0 °F	97%	29.99 in	3.0 mi	Calm	Calm	  -	N/A	"	 "	Partly Cloudy
46	7/25/1996 -- 1:52 AM	68.0 °F	66.9 °F	96%	29.99 in	3.0 mi	East	4.6 mph	  -	N/A	"	 "	Overcast
47	7/25/1996 -- 2:52 AM	66.9 °F	66.0 °F	97%	29.99 in	3.0 mi	Calm	Calm	  -	N/A	"	 "	Partly Cloudy
48	7/25/1996 -- 3:52 AM	66.0 °F	64.9 °F	96%	29.98 in	1.8 mi	Calm	Calm	  -	N/A	"	 "	Partly Cloudy
49	7/25/1996 -- 4:52 AM	64.9 °F	64.9 °F	100%	29.98 in	1.8 mi	ESE	4.6 mph	  -	N/A	"	 "	Clear
50	7/25/1996 -- 5:52 AM	64.9 °F	64.9 °F	100%	29.99 in	1.5 mi	Calm	Calm	  -	N/A	"	 "	Mostly Cloudy
51	7/25/1996 -- 6:52 AM	68.0 °F	66.9 °F	96%	29.99 in	1.8 mi	East	3.5 mph	  -	N/A	"	 "	Mostly Cloudy
52	7/25/1996 -- 7:52 AM	72.0 °F	68.0 °F	87%	30.00 in	2.5 mi	Calm	Calm	  -	N/A	"	 "	Scattered Clouds
53	7/25/1996 -- 8:52 AM	73.9 °F	69.1 °F	85%	30.00 in	2.5 mi	Calm	Calm	  -	N/A	"	 "	Haze
54	7/25/1996 -- 9:52 AM	75.0 °F	66.9 °F	76%	29.99 in	3.0 mi	Variable	4.6 mph	  -	N/A	"	 "	Haze
55	7/25/1996 -- 11:52 AM	75.0 °F	66.9 °F	76%	30.00 in	3.0 mi	SSW	9.2 mph	  -	0.00 in	Rain	Light Rain
56	7/25/1996 -- 12:52 PM	77.0 °F	68.0 °F	74%	29.99 in	3.0 mi	SSW	10.4 mph	  -	0.00 in	"	 "	Haze
57	7/25/1996 -- 1:52 PM	78.1 °F	68.0 °F	71%	29.97 in	3.0 mi	Variable	6.9 mph	16.1 mph	N/A	"	 "	Haze
58	7/25/1996 -- 2:52 PM	80.1 °F	68.0 °F	67%	29.96 in	3.0 mi	WSW	8.1 mph	  -	N/A	"	 "	Haze
59	7/25/1996 -- 3:52 PM	75.9 °F	70.0 °F	82%	29.96 in	1.5 mi	SW	6.9 mph	  -	0.00 in	Rain	Rain
60	7/25/1996 -- 4:52 PM	75.0 °F	71.1 °F	87%	29.94 in	2.0 mi	ENE	4.6 mph	  -	N/A	Rain	Light Rain
61	7/25/1996 -- 5:52 PM	77.0 °F	71.1 °F	82%	29.92 in	2.5 mi	Calm	Calm	  -	N/A	"	 "	Haze
62	7/25/1996 -- 6:52 PM	75.0 °F	71.1 °F	87%	29.92 in	2.5 mi	NW	4.6 mph	  -	N/A	"	 "	Clear
63	7/25/1996 -- 7:52 PM	73.0 °F	71.1 °F	93%	29.94 in	2.5 mi	Calm	Calm	  -	N/A	"	 "	Clear
64	7/25/1996 -- 8:52 PM	71.1 °F	69.1 °F	93%	29.95 in	3.0 mi	Calm	Calm	  -	N/A	"	 "	Partly Cloudy
65	7/25/1996 -- 9:52 PM	75.0 °F	69.1 °F	82%	29.97 in	4.0 mi	SSW	11.5 mph	17.3 mph	N/A	"	 "	Haze
66	7/25/1996 -- 10:52 PM	73.0 °F	66.9 °F	81%	29.97 in	7.0 mi	SW	12.7 mph	  -	N/A	"	 "	Overcast
67	7/25/1996 -- 11:52 PM	71.1 °F	68.0 °F	90%	29.95 in	5.0 mi	Variable	4.6 mph	  -	N/A	"	 "	Mostly Cloudy
68	7/24/1996 -- 12:52 AM	60.1 °F	60.1 °F	100%	29.94 in	8.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
69	7/24/1996 -- 1:52 AM	57.9 °F	57.9 °F	100%	29.94 in	8.0 mi	Calm	Calm	  -	N/A	"	 "	Scattered Clouds
70	7/24/1996 -- 2:52 AM	61.0 °F	61.0 °F	100%	29.95 in	4.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
71	7/24/1996 -- 3:52 AM	62.1 °F	61.0 °F	96%	29.96 in	8.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
72	7/24/1996 -- 4:52 AM	62.1 °F	61.0 °F	96%	29.95 in	8.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
73	7/24/1996 -- 5:52 AM	62.1 °F	61.0 °F	96%	29.97 in	8.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
74	7/24/1996 -- 6:52 AM	63.0 °F	62.1 °F	97%	29.99 in	10.0 mi	ESE	4.6 mph	  -	N/A	"	 "	Overcast
75	7/24/1996 -- 7:52 AM	64.0 °F	62.1 °F	93%	30.00 in	7.0 mi	East	4.6 mph	  -	N/A	"	 "	Overcast
76	7/24/1996 -- 8:52 AM	68.0 °F	63.0 °F	84%	30.00 in	10.0 mi	Variable	3.5 mph	  -	N/A	"	 "	Overcast
77	7/24/1996 -- 9:52 AM	71.1 °F	64.0 °F	78%	29.99 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
78	7/24/1996 -- 10:52 AM	75.9 °F	64.9 °F	69%	29.99 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
79	7/24/1996 -- 11:52 AM	80.1 °F	61.0 °F	52%	29.99 in	10.0 mi	Variable	3.5 mph	  -	N/A	"	 "	Clear
80	7/24/1996 -- 1:52 PM	82.0 °F	64.9 °F	56%	29.97 in	10.0 mi	ESE	6.9 mph	  -	N/A	"	 "	Scattered Clouds
81	7/24/1996 -- 2:52 PM	82.9 °F	64.0 °F	53%	29.96 in	10.0 mi	Variable	5.8 mph	  -	N/A	"	 "	Partly Cloudy
82	7/24/1996 -- 3:52 PM	82.0 °F	66.0 °F	58%	29.96 in	10.0 mi	Variable	5.8 mph	  -	N/A	"	 "	Scattered Clouds
83	7/24/1996 -- 4:52 PM	82.9 °F	66.0 °F	56%	29.95 in	10.0 mi	Variable	6.9 mph	  -	N/A	"	 "	Partly Cloudy
84	7/24/1996 -- 5:52 PM	82.0 °F	64.0 °F	54%	29.94 in	10.0 mi	South	6.9 mph	  -	N/A	"	 "	Clear
85	7/24/1996 -- 6:52 PM	81.0 °F	66.9 °F	62%	29.94 in	10.0 mi	SW	5.8 mph	  -	N/A	"	 "	Clear
86	7/24/1996 -- 7:52 PM	75.9 °F	69.1 °F	79%	29.95 in	7.0 mi	East	3.5 mph	  -	N/A	"	 "	Clear
87	7/24/1996 -- 8:52 PM	71.1 °F	68.0 °F	90%	29.97 in	6.0 mi	Calm	Calm	  -	N/A	"	 "	Partly Cloudy
88	7/24/1996 -- 9:52 PM	68.0 °F	66.9 °F	96%	29.99 in	4.0 mi	South	3.5 mph	  -	N/A	"	 "	Clear
89	7/24/1996 -- 10:52 PM	68.0 °F	66.0 °F	93%	29.99 in	4.0 mi	South	4.6 mph	  -	N/A	"	 "	Clear
90	7/24/1996 -- 11:52 PM	66.9 °F	66.0 °F	97%	29.99 in	3.0 mi	Calm	Calm	  -	N/A	"	 "	Partly Cloudy
91	7/23/1996 -- 12:52 AM	59.0 °F	55.9 °F	90%	29.93 in	10.0 mi	ESE	4.6 mph	  -	N/A	"	 "	Clear
92	7/23/1996 -- 1:52 AM	57.9 °F	55.9 °F	93%	29.92 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
93	7/23/1996 -- 2:52 AM	55.9 °F	55.9 °F	100%	29.91 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
94	7/23/1996 -- 3:52 AM	55.9 °F	55.0 °F	97%	29.90 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Scattered Clouds
95	7/23/1996 -- 4:52 AM	59.0 °F	57.0 °F	93%	29.89 in	10.0 mi	Variable	3.5 mph	  -	N/A	"	 "	Overcast
96	7/23/1996 -- 5:52 AM	60.1 °F	57.9 °F	93%	29.90 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
97	7/23/1996 -- 6:52 AM	60.1 °F	59.0 °F	96%	29.90 in	10.0 mi	ESE	5.8 mph	  -	N/A	"	 "	Overcast
98	7/23/1996 -- 9:52 AM	64.9 °F	62.1 °F	90%	29.93 in	10.0 mi	Calm	Calm	  -	0.00 in	"	 "	Overcast
99	7/23/1996 -- 10:52 AM	68.0 °F	62.1 °F	81%	29.92 in	10.0 mi	East	4.6 mph	  -	N/A	"	 "	Overcast
100	7/23/1996 -- 11:52 AM	69.1 °F	62.1 °F	78%	29.91 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
101	7/23/1996 -- 2:52 PM	71.1 °F	63.0 °F	75%	29.89 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
102	7/23/1996 -- 3:52 PM	71.1 °F	63.0 °F	75%	29.88 in	10.0 mi	East	5.8 mph	  -	N/A	"	 "	Overcast
103	7/23/1996 -- 4:52 PM	70.0 °F	63.0 °F	78%	29.88 in	10.0 mi	East	4.6 mph	  -	N/A	"	 "	Overcast
104	7/23/1996 -- 5:52 PM	69.1 °F	63.0 °F	81%	29.89 in	10.0 mi	Variable	3.5 mph	  -	N/A	"	 "	Overcast
105	7/23/1996 -- 6:52 PM	69.1 °F	63.0 °F	81%	29.89 in	10.0 mi	Variable	3.5 mph	  -	N/A	"	 "	Overcast
106	7/23/1996 -- 7:52 PM	68.0 °F	63.0 °F	84%	29.89 in	10.0 mi	ENE	5.8 mph	  -	N/A	"	 "	Overcast
107	7/23/1996 -- 8:52 PM	66.9 °F	63.0 °F	87%	29.91 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
108	7/23/1996 -- 9:52 PM	66.9 °F	63.0 °F	87%	29.92 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
109	7/23/1996 -- 11:52 PM	63.0 °F	62.1 °F	97%	29.94 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
110	7/22/1996 -- 12:52 AM	57.0 °F	55.0 °F	93%	29.97 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
111	7/22/1996 -- 1:52 AM	55.9 °F	54.0 °F	93%	29.98 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
112	7/22/1996 -- 2:52 AM	53.1 °F	53.1 °F	100%	29.98 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
113	7/22/1996 -- 3:52 AM	51.1 °F	51.1 °F	100%	29.97 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
114	7/22/1996 -- 4:52 AM	51.1 °F	51.1 °F	100%	29.97 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
115	7/22/1996 -- 5:52 AM	50.0 °F	50.0 °F	100%	29.98 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
116	7/22/1996 -- 6:52 AM	55.0 °F	53.1 °F	93%	29.98 in	10.0 mi	SE	3.5 mph	  -	N/A	"	 "	Clear
117	7/22/1996 -- 7:52 AM	55.9 °F	54.0 °F	93%	29.99 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
118	7/22/1996 -- 8:52 AM	62.1 °F	57.0 °F	84%	29.98 in	10.0 mi	Variable	3.5 mph	  -	N/A	"	 "	Clear
119	7/22/1996 -- 9:52 AM	69.1 °F	55.9 °F	63%	29.97 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
120	7/22/1996 -- 10:52 AM	72.0 °F	57.0 °F	59%	29.95 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
121	7/22/1996 -- 11:52 AM	77.0 °F	59.0 °F	54%	29.94 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
122	7/22/1996 -- 12:52 PM	79.0 °F	57.0 °F	47%	29.94 in	10.0 mi	WSW	9.2 mph	  -	N/A	"	 "	Partly Cloudy
123	7/22/1996 -- 1:52 PM	79.0 °F	54.0 °F	42%	29.92 in	9.0 mi	WSW	8.1 mph	  -	N/A	"	 "	Clear
124	7/22/1996 -- 3:52 PM	81.0 °F	53.1 °F	38%	29.90 in	10.0 mi	Variable	5.8 mph	  -	N/A	"	 "	Clear
125	7/22/1996 -- 4:52 PM	81.0 °F	55.0 °F	41%	29.90 in	10.0 mi	SW	5.8 mph	  -	N/A	"	 "	Clear
126	7/22/1996 -- 5:52 PM	81.0 °F	55.0 °F	41%	29.89 in	10.0 mi	Variable	3.5 mph	  -	N/A	"	 "	Clear
127	7/22/1996 -- 6:52 PM	79.0 °F	55.9 °F	45%	29.89 in	10.0 mi	SSW	3.5 mph	  -	N/A	"	 "	Clear
128	7/22/1996 -- 8:52 PM	64.0 °F	60.1 °F	87%	29.92 in	10.0 mi	ENE	3.5 mph	  -	N/A	"	 "	Clear
129	7/22/1996 -- 9:52 PM	60.1 °F	59.0 °F	96%	29.93 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
130	7/22/1996 -- 10:52 PM	57.9 °F	57.0 °F	97%	29.93 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
131	7/22/1996 -- 11:52 PM	57.9 °F	57.0 °F	97%	29.93 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
132	7/21/1996 -- 12:52 AM	66.9 °F	50.0 °F	54%	29.69 in	10.0 mi	West	17.3 mph	23.0 mph	N/A	"	 "	Mostly Cloudy
133	7/21/1996 -- 1:52 AM	64.0 °F	52.0 °F	65%	29.70 in	10.0 mi	WSW	11.5 mph	20.7 mph	N/A	"	 "	Clear
134	7/21/1996 -- 2:52 AM	64.0 °F	50.0 °F	60%	29.71 in	10.0 mi	West	9.2 mph	  -	N/A	"	 "	Clear
135	7/21/1996 -- 3:52 AM	62.1 °F	51.1 °F	67%	29.71 in	10.0 mi	Variable	5.8 mph	  -	N/A	"	 "	Clear
136	7/21/1996 -- 4:52 AM	61.0 °F	51.1 °F	70%	29.73 in	10.0 mi	WSW	12.7 mph	  -	N/A	"	 "	Clear
137	7/21/1996 -- 5:52 AM	60.1 °F	50.0 °F	69%	29.74 in	10.0 mi	WSW	6.9 mph	  -	N/A	"	 "	Clear
138	7/21/1996 -- 6:52 AM	62.1 °F	51.1 °F	67%	29.75 in	10.0 mi	WSW	11.5 mph	  -	N/A	"	 "	Clear
139	7/21/1996 -- 7:52 AM	64.0 °F	52.0 °F	65%	29.76 in	10.0 mi	West	13.8 mph	19.6 mph	N/A	"	 "	Clear
140	7/21/1996 -- 8:52 AM	66.9 °F	52.0 °F	59%	29.76 in	10.0 mi	West	12.7 mph	19.6 mph	N/A	"	 "	Clear
141	7/21/1996 -- 9:52 AM	69.1 °F	51.1 °F	53%	29.77 in	10.0 mi	West	11.5 mph	21.9 mph	N/A	"	 "	Clear
142	7/21/1996 -- 10:52 AM	70.0 °F	52.0 °F	53%	29.78 in	10.0 mi	West	15.0 mph	23.0 mph	N/A	"	 "	Partly Cloudy
143	7/21/1996 -- 11:52 AM	72.0 °F	54.0 °F	53%	29.78 in	10.0 mi	West	17.3 mph	23.0 mph	N/A	"	 "	Partly Cloudy
144	7/21/1996 -- 12:52 PM	75.0 °F	51.1 °F	43%	29.78 in	10.0 mi	West	11.5 mph	  -	N/A	"	 "	Partly Cloudy
145	7/21/1996 -- 1:52 PM	77.0 °F	48.9 °F	37%	29.78 in	10.0 mi	West	12.7 mph	19.6 mph	N/A	"	 "	Clear
146	7/21/1996 -- 2:52 PM	79.0 °F	50.0 °F	36%	29.78 in	10.0 mi	West	15.0 mph	21.9 mph	N/A	"	 "	Clear
147	7/21/1996 -- 3:52 PM	79.0 °F	48.9 °F	35%	29.78 in	10.0 mi	WNW	11.5 mph	16.1 mph	N/A	"	 "	Clear
148	7/21/1996 -- 4:52 PM	78.1 °F	54.0 °F	43%	29.79 in	10.0 mi	West	10.4 mph	20.7 mph	N/A	"	 "	Clear
149	7/21/1996 -- 5:52 PM	78.1 °F	55.0 °F	45%	29.79 in	10.0 mi	West	11.5 mph	  -	N/A	"	 "	Clear
150	7/21/1996 -- 6:52 PM	75.9 °F	55.9 °F	50%	29.83 in	10.0 mi	West	10.4 mph	  -	N/A	"	 "	Clear
151	7/21/1996 -- 7:52 PM	72.0 °F	55.9 °F	57%	29.85 in	10.0 mi	WSW	8.1 mph	  -	N/A	"	 "	Clear
152	7/21/1996 -- 8:52 PM	66.0 °F	57.0 °F	73%	29.89 in	10.0 mi	West	3.5 mph	  -	N/A	"	 "	Clear
153	7/21/1996 -- 9:52 PM	62.1 °F	59.0 °F	90%	29.92 in	10.0 mi	NNE	4.6 mph	  -	N/A	"	 "	Clear
154	7/21/1996 -- 10:52 PM	59.0 °F	57.0 °F	93%	29.93 in	10.0 mi	SE	3.5 mph	  -	N/A	"	 "	Clear
155	7/21/1996 -- 11:52 PM	59.0 °F	55.9 °F	90%	29.96 in	10.0 mi	ESE	5.8 mph	  -	N/A	"	 "	Clear
156	7/20/1996 -- 12:52 AM	66.0 °F	54.0 °F	65%	29.56 in	10.0 mi	West	12.7 mph	27.6 mph	N/A	"	 "	Scattered Clouds
157	7/20/1996 -- 1:52 AM	64.0 °F	52.0 °F	65%	29.59 in	10.0 mi	West	11.5 mph	20.7 mph	N/A	"	 "	Scattered Clouds
158	7/20/1996 -- 2:52 AM	64.0 °F	52.0 °F	65%	29.61 in	10.0 mi	West	9.2 mph	18.4 mph	N/A	"	 "	Overcast
159	7/20/1996 -- 3:52 AM	62.1 °F	52.0 °F	70%	29.61 in	10.0 mi	West	11.5 mph	18.4 mph	N/A	"	 "	Clear
160	7/20/1996 -- 4:52 AM	62.1 °F	52.0 °F	70%	29.60 in	10.0 mi	West	13.8 mph	27.6 mph	N/A	"	 "	Partly Cloudy
161	7/20/1996 -- 5:52 AM	61.0 °F	53.1 °F	75%	29.61 in	10.0 mi	West	17.3 mph	20.7 mph	N/A	"	 "	Scattered Clouds
162	7/20/1996 -- 6:52 AM	61.0 °F	51.1 °F	70%	29.62 in	10.0 mi	West	15.0 mph	27.6 mph	N/A	"	 "	Overcast
163	7/20/1996 -- 8:52 AM	62.1 °F	50.0 °F	65%	29.64 in	10.0 mi	West	18.4 mph	33.4 mph	N/A	"	 "	Mostly Cloudy
164	7/20/1996 -- 9:52 AM	61.0 °F	50.0 °F	67%	29.65 in	10.0 mi	West	11.5 mph	25.3 mph	N/A	"	 "	Overcast
165	7/20/1996 -- 10:52 AM	62.1 °F	51.1 °F	67%	29.63 in	10.0 mi	West	18.4 mph	21.9 mph	N/A	"	 "	Overcast
166	7/20/1996 -- 11:52 AM	64.9 °F	50.0 °F	58%	29.62 in	10.0 mi	WNW	11.5 mph	23.0 mph	N/A	"	 "	Overcast
167	7/20/1996 -- 12:52 PM	68.0 °F	51.1 °F	55%	29.60 in	10.0 mi	West	16.1 mph	25.3 mph	N/A	"	 "	Mostly Cloudy
168	7/20/1996 -- 1:52 PM	66.0 °F	48.9 °F	54%	29.60 in	10.0 mi	West	16.1 mph	24.2 mph	N/A	"	 "	Overcast
169	7/20/1996 -- 2:52 PM	66.9 °F	48.9 °F	52%	29.61 in	10.0 mi	West	20.7 mph	33.4 mph	N/A	"	 "	Overcast
170	7/20/1996 -- 3:52 PM	66.9 °F	51.1 °F	57%	29.60 in	10.0 mi	West	16.1 mph	20.7 mph	N/A	"	 "	Overcast
171	7/20/1996 -- 4:52 PM	69.1 °F	55.0 °F	61%	29.60 in	10.0 mi	WSW	17.3 mph	21.9 mph	N/A	"	 "	Overcast
172	7/20/1996 -- 5:52 PM	69.1 °F	48.9 °F	49%	29.61 in	10.0 mi	West	19.6 mph	27.6 mph	N/A	"	 "	Overcast
173	7/20/1996 -- 6:52 PM	69.1 °F	48.9 °F	49%	29.63 in	10.0 mi	West	13.8 mph	  -	N/A	"	 "	Overcast
174	7/20/1996 -- 7:52 PM	69.1 °F	48.9 °F	49%	29.63 in	10.0 mi	West	17.3 mph	28.8 mph	0.00 in	"	 "	Overcast
175	7/20/1996 -- 8:52 PM	68.0 °F	51.1 °F	55%	29.65 in	10.0 mi	West	15.0 mph	20.7 mph	0.00 in	"	 "	Overcast
176	7/20/1996 -- 9:52 PM	68.0 °F	52.0 °F	56%	29.67 in	10.0 mi	West	19.6 mph	29.9 mph	N/A	"	 "	Overcast
177	7/20/1996 -- 10:52 PM	68.0 °F	51.1 °F	55%	29.68 in	10.0 mi	WSW	16.1 mph	26.5 mph	N/A	"	 "	Overcast
178	7/20/1996 -- 11:52 PM	66.9 °F	52.0 °F	59%	29.68 in	10.0 mi	WSW	16.1 mph	26.5 mph	N/A	"	 "	Overcast
179	7/19/1996 -- 12:52 AM	70.0 °F	66.0 °F	87%	29.87 in	8.0 mi	Variable	6.9 mph	  -	N/A	"	 "	Clear
