	UTC	Time Stamps	Temp	Dew Point	Humidity	Pressure	Visibility	Wind Direction	Wind Speed	Gust Speed	Precipitation	Events	Conditions
44	1997-07-27 20:16:00+00:00	7/27/1997 -- 3:16 PM	78.8 °F	77.0 °F	94%	29.87 in	10.0 mi	NW	4.6 mph	  -	N/A	Rain	Light Rain
45	1997-07-27 20:37:00+00:00	7/27/1997 -- 3:37 PM	78.8 °F	77.0 °F	94%	29.90 in	10.0 mi	WNW	4.6 mph	  -	N/A	"	 "	Scattered Clouds
46	1997-07-27 20:55:00+00:00	7/27/1997 -- 3:55 PM	77.0 °F	75.2 °F	94%	29.91 in	10.0 mi	WNW	8.1 mph	  -	N/A	"	 "	Clear
47	1997-07-27 21:17:00+00:00	7/27/1997 -- 4:17 PM	77.0 °F	73.4 °F	89%	29.93 in	10.0 mi	WNW	10.4 mph	  -	N/A	"	 "	Clear
48	1997-07-27 21:36:00+00:00	7/27/1997 -- 4:36 PM	75.2 °F	73.4 °F	94%	29.93 in	10.0 mi	West	8.1 mph	  -	0.01 in	Rain	Light Rain
49	1997-07-27 21:54:00+00:00	7/27/1997 -- 4:54 PM	73.4 °F	73.4 °F	100%	29.93 in	10.0 mi	WNW	8.1 mph	  -	0.01 in	Rain	Light Rain
50	1997-07-27 22:34:00+00:00	7/27/1997 -- 5:34 PM	75.2 °F	73.4 °F	94%	29.92 in	10.0 mi	West	4.6 mph	  -	0.01 in	"	 "	Clear
51	1997-07-27 22:57:00+00:00	7/27/1997 -- 5:57 PM	75.2 °F	71.6 °F	89%	29.90 in	10.0 mi	WNW	5.8 mph	  -	N/A	"	 "	Clear
52	1997-07-27 23:15:00+00:00	7/27/1997 -- 6:15 PM	73.4 °F	71.6 °F	94%	29.89 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
53	1997-07-27 23:35:00+00:00	7/27/1997 -- 6:35 PM	73.4 °F	71.6 °F	94%	29.87 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
54	1997-07-27 23:54:00+00:00	7/27/1997 -- 6:54 PM	73.4 °F	71.6 °F	94%	29.87 in	10.0 mi	WSW	4.6 mph	  -	N/A	"	 "	Clear
55	1997-07-28 00:15:00+00:00	7/27/1997 -- 7:15 PM	73.4 °F	71.6 °F	94%	29.88 in	10.0 mi	West	8.1 mph	  -	N/A	"	 "	Clear
56	1997-07-28 00:35:00+00:00	7/27/1997 -- 7:35 PM	73.4 °F	71.6 °F	94%	29.89 in	10.0 mi	WNW	6.9 mph	  -	N/A	"	 "	Clear
57	1997-07-28 00:56:00+00:00	7/27/1997 -- 7:56 PM	73.4 °F	71.6 °F	94%	29.88 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
58	1997-07-28 01:14:00+00:00	7/27/1997 -- 8:14 PM	73.4 °F	71.6 °F	94%	29.89 in	10.0 mi	NW	3.5 mph	  -	N/A	"	 "	Clear
59	1997-07-28 01:34:00+00:00	7/27/1997 -- 8:34 PM	71.6 °F	71.6 °F	100%	29.91 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
60	1997-07-28 01:54:00+00:00	7/27/1997 -- 8:54 PM	71.6 °F	71.6 °F	100%	29.92 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
61	1997-07-28 02:34:00+00:00	7/27/1997 -- 9:34 PM	69.8 °F	69.8 °F	100%	29.93 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
62	1997-07-28 02:58:00+00:00	7/27/1997 -- 9:58 PM	69.8 °F	69.8 °F	100%	29.94 in	10.0 mi	WNW	3.5 mph	  -	N/A	"	 "	Clear
63	1997-07-28 03:15:00+00:00	7/27/1997 -- 10:15 PM	69.8 °F	69.8 °F	100%	29.95 in	10.0 mi	WNW	3.5 mph	  -	N/A	"	 "	Clear
64	1997-07-28 03:37:00+00:00	7/27/1997 -- 10:37 PM	69.8 °F	69.8 °F	100%	29.95 in	10.0 mi	West	3.5 mph	  -	N/A	"	 "	Clear
65	1997-07-28 03:54:00+00:00	7/27/1997 -- 10:54 PM	69.8 °F	69.8 °F	100%	29.95 in	10.0 mi	WNW	4.6 mph	  -	N/A	"	 "	Clear
66	1997-07-28 04:35:00+00:00	7/27/1997 -- 11:35 PM	69.8 °F	69.8 °F	100%	29.95 in	10.0 mi	WNW	4.6 mph	  -	N/A	"	 "	Clear
67	1997-07-28 04:54:00+00:00	7/27/1997 -- 11:54 PM	69.8 °F	69.8 °F	100%	29.95 in	10.0 mi	WNW	3.5 mph	  -	N/A	"	 "	Scattered Clouds
68	1997-01-08 06:15:00+00:00	1/8/1997 -- 12:15 AM	10.4 °F	6.8 °F	85%	30.29 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
69	1997-01-08 06:35:00+00:00	1/8/1997 -- 12:35 AM	12.2 °F	6.8 °F	79%	30.29 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
70	1997-01-08 06:55:00+00:00	1/8/1997 -- 12:55 AM	14.0 °F	8.6 °F	79%	30.28 in	10.0 mi	SE	4.6 mph	  -	N/A	"	 "	Clear
71	1997-01-08 07:15:00+00:00	1/8/1997 -- 1:15 AM	14.0 °F	8.6 °F	79%	30.28 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
72	1997-01-08 07:35:00+00:00	1/8/1997 -- 1:35 AM	14.0 °F	8.6 °F	79%	30.28 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
73	1997-01-08 07:55:00+00:00	1/8/1997 -- 1:55 AM	12.2 °F	6.8 °F	79%	30.28 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
74	1997-01-08 08:15:00+00:00	1/8/1997 -- 2:15 AM	10.4 °F	6.8 °F	85%	30.29 in	10.0 mi	SSE	3.5 mph	  -	N/A	"	 "	Clear
75	1997-01-08 08:35:00+00:00	1/8/1997 -- 2:35 AM	12.2 °F	6.8 °F	79%	30.29 in	10.0 mi	South	5.8 mph	  -	N/A	"	 "	Clear
76	1997-01-08 08:55:00+00:00	1/8/1997 -- 2:55 AM	10.4 °F	6.8 °F	85%	30.27 in	10.0 mi	SSE	5.8 mph	  -	N/A	"	 "	Clear
77	1997-01-08 09:15:00+00:00	1/8/1997 -- 3:15 AM	10.4 °F	5.0 °F	79%	30.27 in	10.0 mi	SSE	5.8 mph	  -	N/A	"	 "	Clear
78	1997-01-08 09:35:00+00:00	1/8/1997 -- 3:35 AM	10.4 °F	6.8 °F	85%	30.27 in	10.0 mi	South	3.5 mph	  -	N/A	"	 "	Clear
79	1997-01-08 09:55:00+00:00	1/8/1997 -- 3:55 AM	12.2 °F	6.8 °F	79%	30.27 in	10.0 mi	SSE	3.5 mph	  -	N/A	"	 "	Clear
80	1997-01-08 10:15:00+00:00	1/8/1997 -- 4:15 AM	12.2 °F	6.8 °F	79%	30.26 in	10.0 mi	South	4.6 mph	  -	N/A	"	 "	Clear
81	1997-01-08 10:35:00+00:00	1/8/1997 -- 4:35 AM	12.2 °F	8.6 °F	85%	30.26 in	10.0 mi	South	6.9 mph	  -	N/A	"	 "	Clear
82	1997-01-08 10:55:00+00:00	1/8/1997 -- 4:55 AM	12.2 °F	6.8 °F	79%	30.25 in	10.0 mi	South	5.8 mph	  -	N/A	"	 "	Clear
83	1997-01-08 11:15:00+00:00	1/8/1997 -- 5:15 AM	12.2 °F	6.8 °F	79%	30.25 in	10.0 mi	South	6.9 mph	  -	N/A	"	 "	Clear
84	1997-01-08 11:35:00+00:00	1/8/1997 -- 5:35 AM	12.2 °F	8.6 °F	85%	30.24 in	10.0 mi	South	8.1 mph	  -	N/A	"	 "	Clear
85	1997-01-08 11:55:00+00:00	1/8/1997 -- 5:55 AM	14.0 °F	8.6 °F	79%	30.25 in	10.0 mi	SSW	4.6 mph	  -	N/A	"	 "	Clear
86	1997-01-08 12:15:00+00:00	1/8/1997 -- 6:15 AM	12.2 °F	8.6 °F	85%	30.24 in	10.0 mi	South	6.9 mph	  -	N/A	"	 "	Clear
87	1997-01-08 12:35:00+00:00	1/8/1997 -- 6:35 AM	12.2 °F	8.6 °F	85%	30.24 in	10.0 mi	South	4.6 mph	  -	N/A	"	 "	Clear
88	1997-01-08 12:55:00+00:00	1/8/1997 -- 6:55 AM	12.2 °F	8.6 °F	85%	30.24 in	10.0 mi	South	8.1 mph	  -	N/A	"	 "	Clear
89	1997-01-08 13:15:00+00:00	1/8/1997 -- 7:15 AM	14.0 °F	8.6 °F	79%	30.24 in	10.0 mi	South	6.9 mph	  -	N/A	"	 "	Clear
90	1997-01-08 13:35:00+00:00	1/8/1997 -- 7:35 AM	12.2 °F	8.6 °F	85%	30.23 in	10.0 mi	South	9.2 mph	  -	N/A	"	 "	Clear
91	1997-01-08 13:55:00+00:00	1/8/1997 -- 7:55 AM	14.0 °F	8.6 °F	79%	30.24 in	10.0 mi	South	9.2 mph	  -	N/A	"	 "	Clear
92	1997-01-08 14:15:00+00:00	1/8/1997 -- 8:15 AM	15.8 °F	10.4 °F	79%	30.24 in	10.0 mi	South	9.2 mph	  -	N/A	"	 "	Clear
93	1997-01-08 14:35:00+00:00	1/8/1997 -- 8:35 AM	17.6 °F	10.4 °F	73%	30.24 in	10.0 mi	South	8.1 mph	  -	N/A	"	 "	Clear
94	1997-01-08 14:55:00+00:00	1/8/1997 -- 8:55 AM	17.6 °F	10.4 °F	73%	30.24 in	10.0 mi	South	9.2 mph	  -	N/A	"	 "	Clear
95	1997-01-08 15:15:00+00:00	1/8/1997 -- 9:15 AM	19.4 °F	12.2 °F	74%	30.23 in	10.0 mi	South	9.2 mph	  -	N/A	"	 "	Clear
96	1997-01-08 15:35:00+00:00	1/8/1997 -- 9:35 AM	19.4 °F	12.2 °F	74%	30.23 in	10.0 mi	South	10.4 mph	  -	N/A	"	 "	Clear
97	1997-01-08 15:55:00+00:00	1/8/1997 -- 9:55 AM	19.4 °F	12.2 °F	74%	30.23 in	10.0 mi	South	10.4 mph	  -	N/A	"	 "	Clear
98	1997-01-08 16:15:00+00:00	1/8/1997 -- 10:15 AM	21.2 °F	12.2 °F	68%	30.22 in	10.0 mi	South	9.2 mph	  -	N/A	"	 "	Clear
99	1997-01-08 16:35:00+00:00	1/8/1997 -- 10:35 AM	23.0 °F	12.2 °F	63%	30.21 in	10.0 mi	South	9.2 mph	  -	N/A	"	 "	Clear
100	1997-01-08 16:55:00+00:00	1/8/1997 -- 10:55 AM	23.0 °F	14.0 °F	68%	30.20 in	10.0 mi	South	11.5 mph	  -	N/A	"	 "	Clear
101	1997-01-08 17:15:00+00:00	1/8/1997 -- 11:15 AM	24.8 °F	14.0 °F	64%	30.19 in	10.0 mi	South	10.4 mph	  -	N/A	"	 "	Clear
102	1997-01-08 17:35:00+00:00	1/8/1997 -- 11:35 AM	26.6 °F	15.8 °F	64%	30.18 in	10.0 mi	South	11.5 mph	  -	N/A	"	 "	Clear
103	1997-01-08 17:55:00+00:00	1/8/1997 -- 11:55 AM	26.6 °F	15.8 °F	64%	30.17 in	10.0 mi	South	9.2 mph	  -	N/A	"	 "	Clear
104	1997-01-08 18:15:00+00:00	1/8/1997 -- 12:15 PM	28.4 °F	12.2 °F	51%	30.16 in	10.0 mi	SSW	9.2 mph	  -	N/A	"	 "	Clear
105	1997-01-08 18:35:00+00:00	1/8/1997 -- 12:35 PM	30.2 °F	12.2 °F	47%	30.14 in	10.0 mi	SSW	9.2 mph	  -	N/A	"	 "	Clear
106	1997-01-08 18:55:00+00:00	1/8/1997 -- 12:55 PM	30.2 °F	10.4 °F	44%	30.13 in	10.0 mi	South	11.5 mph	18.4 mph	N/A	"	 "	Clear
107	1997-01-08 19:15:00+00:00	1/8/1997 -- 1:15 PM	30.2 °F	12.2 °F	47%	30.12 in	10.0 mi	South	11.5 mph	16.1 mph	N/A	"	 "	Clear
108	1997-01-08 19:35:00+00:00	1/8/1997 -- 1:35 PM	30.2 °F	12.2 °F	47%	30.12 in	10.0 mi	SSW	11.5 mph	  -	N/A	"	 "	Clear
109	1997-01-08 19:55:00+00:00	1/8/1997 -- 1:55 PM	30.2 °F	14.0 °F	51%	30.11 in	10.0 mi	South	15.0 mph	  -	N/A	"	 "	Clear
110	1997-01-08 20:15:00+00:00	1/8/1997 -- 2:15 PM	32.0 °F	14.0 °F	48%	30.12 in	10.0 mi	South	11.5 mph	  -	N/A	"	 "	Scattered Clouds
111	1997-01-08 20:35:00+00:00	1/8/1997 -- 2:35 PM	30.2 °F	15.8 °F	55%	30.12 in	10.0 mi	South	11.5 mph	17.3 mph	N/A	"	 "	Scattered Clouds
112	1997-01-08 20:55:00+00:00	1/8/1997 -- 2:55 PM	30.2 °F	15.8 °F	55%	30.11 in	10.0 mi	South	8.1 mph	  -	N/A	"	 "	Mostly Cloudy
113	1997-01-08 21:15:00+00:00	1/8/1997 -- 3:15 PM	30.2 °F	15.8 °F	55%	30.11 in	10.0 mi	South	9.2 mph	  -	N/A	"	 "	Overcast
114	1997-01-08 21:35:00+00:00	1/8/1997 -- 3:35 PM	30.2 °F	17.6 °F	60%	30.11 in	10.0 mi	South	11.5 mph	  -	N/A	"	 "	Overcast
115	1997-01-08 21:55:00+00:00	1/8/1997 -- 3:55 PM	30.2 °F	15.8 °F	55%	30.10 in	10.0 mi	South	11.5 mph	  -	N/A	"	 "	Overcast
116	1997-01-08 22:15:00+00:00	1/8/1997 -- 4:15 PM	30.2 °F	15.8 °F	55%	30.09 in	10.0 mi	South	10.4 mph	  -	N/A	"	 "	Overcast
117	1997-01-08 22:35:00+00:00	1/8/1997 -- 4:35 PM	28.4 °F	15.8 °F	59%	30.09 in	10.0 mi	South	9.2 mph	  -	N/A	"	 "	Overcast
118	1997-01-08 22:55:00+00:00	1/8/1997 -- 4:55 PM	28.4 °F	15.8 °F	59%	30.08 in	10.0 mi	South	8.1 mph	  -	N/A	"	 "	Overcast
119	1997-01-08 23:15:00+00:00	1/8/1997 -- 5:15 PM	28.4 °F	15.8 °F	59%	30.08 in	10.0 mi	South	9.2 mph	16.1 mph	N/A	"	 "	Mostly Cloudy
120	1997-01-08 23:35:00+00:00	1/8/1997 -- 5:35 PM	28.4 °F	14.0 °F	55%	30.08 in	10.0 mi	South	9.2 mph	  -	N/A	"	 "	Scattered Clouds
121	1997-01-08 23:55:00+00:00	1/8/1997 -- 5:55 PM	26.6 °F	14.0 °F	59%	30.06 in	10.0 mi	South	9.2 mph	  -	N/A	"	 "	Scattered Clouds
122	1997-01-09 00:35:00+00:00	1/8/1997 -- 6:35 PM	24.8 °F	14.0 °F	64%	30.04 in	10.0 mi	South	8.1 mph	  -	N/A	"	 "	Mostly Cloudy
123	1997-01-09 00:55:00+00:00	1/8/1997 -- 6:55 PM	24.8 °F	14.0 °F	64%	30.04 in	10.0 mi	South	4.6 mph	  -	N/A	"	 "	Mostly Cloudy
124	1997-01-09 01:15:00+00:00	1/8/1997 -- 7:15 PM	24.8 °F	14.0 °F	64%	30.03 in	10.0 mi	SSE	5.8 mph	  -	N/A	"	 "	Scattered Clouds
125	1997-01-09 01:35:00+00:00	1/8/1997 -- 7:35 PM	24.8 °F	15.8 °F	69%	30.03 in	10.0 mi	South	11.5 mph	  -	N/A	"	 "	Scattered Clouds
126	1997-01-09 01:55:00+00:00	1/8/1997 -- 7:55 PM	26.6 °F	15.8 °F	64%	30.04 in	10.0 mi	South	11.5 mph	  -	N/A	"	 "	Scattered Clouds
127	1997-01-09 02:35:00+00:00	1/8/1997 -- 8:35 PM	24.8 °F	17.6 °F	74%	30.01 in	10.0 mi	SSE	5.8 mph	  -	N/A	"	 "	Mostly Cloudy
128	1997-01-09 02:55:00+00:00	1/8/1997 -- 8:55 PM	24.8 °F	17.6 °F	74%	30.01 in	10.0 mi	SSE	6.9 mph	  -	N/A	"	 "	Scattered Clouds
129	1997-01-09 03:15:00+00:00	1/8/1997 -- 9:15 PM	24.8 °F	17.6 °F	74%	30.01 in	10.0 mi	SSE	3.5 mph	  -	N/A	"	 "	Clear
130	1997-01-09 03:35:00+00:00	1/8/1997 -- 9:35 PM	24.8 °F	17.6 °F	74%	29.99 in	10.0 mi	SSE	4.6 mph	  -	N/A	"	 "	Scattered Clouds
131	1997-01-09 03:55:00+00:00	1/8/1997 -- 9:55 PM	24.8 °F	17.6 °F	74%	29.99 in	10.0 mi	SSE	3.5 mph	  -	N/A	"	 "	Scattered Clouds
132	1997-01-09 04:15:00+00:00	1/8/1997 -- 10:15 PM	24.8 °F	17.6 °F	74%	29.98 in	10.0 mi	SE	4.6 mph	  -	N/A	"	 "	Clear
133	1997-01-09 04:35:00+00:00	1/8/1997 -- 10:35 PM	24.8 °F	17.6 °F	74%	29.97 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Clear
134	1997-01-09 04:55:00+00:00	1/8/1997 -- 10:55 PM	24.8 °F	19.4 °F	80%	29.96 in	10.0 mi	SSE	4.6 mph	  -	N/A	"	 "	Clear
135	1997-01-09 05:15:00+00:00	1/8/1997 -- 11:15 PM	24.8 °F	19.4 °F	80%	29.97 in	10.0 mi	SSE	4.6 mph	  -	N/A	"	 "	Clear
136	1997-01-09 05:35:00+00:00	1/8/1997 -- 11:35 PM	24.8 °F	19.4 °F	80%	29.95 in	10.0 mi	SSE	4.6 mph	  -	N/A	"	 "	Clear
137	1997-01-09 05:55:00+00:00	1/8/1997 -- 11:55 PM	24.8 °F	19.4 °F	80%	29.91 in	10.0 mi	SE	4.6 mph	  -	N/A	"	 "	Scattered Clouds
