	Time Stamps	Temp	Dew Point	Humidity	Pressure	Visibility	Wind Direction	Wind Speed	Gust Speed	Precipitation	Events	Conditions
54	1/8/1997 -- 9:51 PM	42.1 °F	17.1 °F	37%	30.18 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
55	1/8/1997 -- 10:51 PM	39.9 °F	18.0 °F	41%	30.19 in	7.0 mi	Calm	Calm	  -	0.01 in	Rain	Light Ice Pellets
56	1/8/1997 -- 11:51 PM	34.0 °F	32.0 °F	92%	30.18 in	6.0 mi	Calm	Calm	  -	0.07 in	Rain	Light Ice Pellets
57	6/22/1996 -- 12:00 AM	73.0 °F	72.0 °F	96%	29.89 in	10.5 mi	Calm	Calm	  -	N/A	Fog	Fog
58	6/22/1996 -- 1:00 AM	72.0 °F	71.1 °F	97%	29.88 in	3.2 mi	Calm	Calm	  -	N/A	Fog	Fog
59	6/22/1996 -- 2:00 AM	71.1 °F	70.0 °F	96%	29.89 in	2.0 mi	Calm	Calm	  -	N/A	Fog	Fog
60	6/22/1996 -- 3:00 AM	71.1 °F	70.0 °F	96%	29.87 in	2.0 mi	Calm	Calm	  -	N/A	Fog	Fog
61	6/22/1996 -- 4:00 AM	70.0 °F	70.0 °F	100%	29.88 in	2.0 mi	Calm	Calm	  -	N/A	Fog	Fog
62	6/22/1996 -- 5:00 AM	69.1 °F	69.1 °F	100%	29.88 in	2.8 mi	Calm	Calm	  -	N/A	Fog	Fog
63	6/22/1996 -- 5:16 AM	  -	  -	N/A%	29.88 in	5.5 mi	Calm	Calm	  -	N/A	Fog	Fog
64	6/22/1996 -- 6:00 AM	68.0 °F	68.0 °F	100%	29.89 in	1.0 mi	Calm	Calm	  -	0.01 in	Fog	Fog
65	6/22/1996 -- 7:00 AM	69.1 °F	68.0 °F	96%	29.91 in	1.0 mi	Calm	Calm	  -	N/A	Fog	Fog
66	6/22/1996 -- 7:35 AM	  -	  -	N/A%	29.91 in	2.0 mi	Calm	Calm	  -	N/A	Fog	Fog
67	6/22/1996 -- 8:00 AM	75.0 °F	72.0 °F	90%	29.91 in	10.5 mi	Calm	Calm	  -	N/A	Fog	Fog
68	6/22/1996 -- 8:09 AM	  -	  -	N/A%	29.91 in	3.0 mi	Calm	Calm	  -	N/A	Fog	Fog
69	6/22/1996 -- 9:00 AM	78.1 °F	70.0 °F	76%	29.91 in	5.0 mi	NW	3.5 mph	  -	N/A	"	 "	Drizzle
70	6/22/1996 -- 10:00 AM	82.9 °F	72.0 °F	69%	29.91 in	5.0 mi	West	4.6 mph	  -	N/A	"	 "	Drizzle
71	6/22/1996 -- 11:00 AM	87.1 °F	72.0 °F	61%	29.91 in	5.0 mi	SW	5.8 mph	  -	N/A	"	 "	Drizzle
72	6/22/1996 -- 12:00 PM	90.0 °F	72.0 °F	55%	29.89 in	7.0 mi	SW	10.4 mph	  -	N/A	"	 "	Unknown
73	6/22/1996 -- 1:00 PM	91.0 °F	73.0 °F	55%	29.90 in	7.0 mi	WSW	6.9 mph	  -	N/A	"	 "	Unknown
74	6/22/1996 -- 2:00 PM	91.9 °F	73.9 °F	55%	29.88 in	7.0 mi	WSW	8.1 mph	  -	N/A	"	 "	Clear
75	6/22/1996 -- 3:00 PM	93.0 °F	72.0 °F	50%	29.86 in	7.0 mi	West	8.1 mph	  -	N/A	"	 "	Unknown
76	6/22/1996 -- 4:00 PM	93.9 °F	71.1 °F	47%	29.85 in	7.0 mi	WSW	9.2 mph	  -	N/A	"	 "	Unknown
77	6/22/1996 -- 5:00 PM	93.9 °F	71.1 °F	47%	29.83 in	7.0 mi	WSW	10.4 mph	  -	N/A	"	 "	Unknown
78	6/22/1996 -- 6:00 PM	91.9 °F	73.0 °F	54%	29.83 in	7.0 mi	WSW	9.2 mph	  -	N/A	"	 "	Unknown
79	6/22/1996 -- 7:00 PM	89.1 °F	73.0 °F	59%	29.81 in	7.0 mi	WSW	4.6 mph	  -	N/A	"	 "	Unknown
80	6/22/1996 -- 8:00 PM	84.9 °F	73.0 °F	67%	29.82 in	5.0 mi	WSW	4.6 mph	  -	N/A	"	 "	Drizzle
81	6/22/1996 -- 9:00 PM	81.0 °F	73.9 °F	79%	29.84 in	5.0 mi	SW	3.5 mph	  -	N/A	"	 "	Drizzle
82	6/22/1996 -- 10:00 PM	79.0 °F	73.9 °F	84%	29.85 in	5.0 mi	SW	3.5 mph	  -	N/A	"	 "	Drizzle
83	6/22/1996 -- 11:00 PM	77.0 °F	73.9 °F	90%	29.85 in	4.0 mi	WSW	4.6 mph	  -	N/A	Fog	Fog
84	12/5/1995 -- 12:00 AM	45.0 °F	37.9 °F	76%	30.21 in	7.0 mi	ESE	8.1 mph	  -	N/A	"	 "	Clear
85	12/5/1995 -- 1:00 AM	45.0 °F	36.0 °F	71%	30.19 in	10.0 mi	ESE	8.1 mph	  -	N/A	"	 "	Scattered Clouds
86	12/5/1995 -- 2:00 AM	44.1 °F	35.1 °F	71%	30.19 in	10.0 mi	ESE	9.2 mph	  -	N/A	"	 "	Partly Cloudy
87	12/5/1995 -- 3:00 AM	43.0 °F	34.0 °F	71%	30.20 in	10.0 mi	ESE	8.1 mph	  -	N/A	"	 "	Mostly Cloudy
88	12/5/1995 -- 4:00 AM	42.1 °F	34.0 °F	73%	30.21 in	10.0 mi	East	6.9 mph	  -	N/A	"	 "	Mostly Cloudy
89	12/5/1995 -- 5:00 AM	41.0 °F	33.1 °F	73%	30.21 in	10.0 mi	East	5.8 mph	  -	N/A	"	 "	Mostly Cloudy
90	12/5/1995 -- 6:00 AM	41.0 °F	33.1 °F	73%	30.22 in	10.0 mi	East	9.2 mph	  -	N/A	"	 "	Unknown
91	12/5/1995 -- 7:00 AM	41.0 °F	33.1 °F	73%	30.20 in	10.0 mi	East	12.7 mph	  -	N/A	"	 "	Mostly Cloudy
92	12/5/1995 -- 8:00 AM	42.1 °F	33.1 °F	70%	30.22 in	10.0 mi	ENE	6.9 mph	  -	N/A	"	 "	Mostly Cloudy
93	12/5/1995 -- 9:00 AM	41.0 °F	35.1 °F	79%	30.24 in	7.0 mi	ENE	6.9 mph	  -	N/A	"	 "	Mostly Cloudy
94	12/5/1995 -- 10:00 AM	46.9 °F	34.0 °F	61%	30.25 in	7.0 mi	NNE	6.9 mph	  -	N/A	"	 "	Overcast
95	12/5/1995 -- 11:00 AM	48.9 °F	35.1 °F	59%	30.23 in	7.0 mi	East	9.2 mph	  -	N/A	"	 "	Overcast
96	12/5/1995 -- 12:00 PM	48.9 °F	36.0 °F	61%	30.21 in	7.0 mi	ESE	5.8 mph	  -	N/A	"	 "	Overcast
97	12/5/1995 -- 1:00 PM	50.0 °F	39.0 °F	66%	30.18 in	7.0 mi	SE	5.8 mph	  -	N/A	"	 "	Mostly Cloudy
98	12/5/1995 -- 2:00 PM	51.1 °F	37.9 °F	61%	30.15 in	7.0 mi	ENE	4.6 mph	  -	N/A	Rain	Light Rain
99	12/5/1995 -- 3:00 PM	52.0 °F	39.0 °F	61%	30.13 in	10.0 mi	ESE	4.6 mph	  -	N/A	"	 "	Overcast
100	12/5/1995 -- 4:00 PM	52.0 °F	39.0 °F	61%	30.13 in	10.0 mi	NE	4.6 mph	  -	N/A	"	 "	Overcast
101	12/5/1995 -- 5:00 PM	51.1 °F	41.0 °F	68%	30.13 in	7.0 mi	NNE	3.5 mph	  -	N/A	"	 "	Overcast
102	12/5/1995 -- 6:00 PM	50.0 °F	43.0 °F	77%	30.12 in	7.0 mi	East	3.5 mph	  -	N/A	"	 "	Overcast
103	12/5/1995 -- 7:00 PM	50.0 °F	41.0 °F	71%	30.12 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Unknown
104	12/5/1995 -- 8:00 PM	48.9 °F	42.1 °F	77%	30.13 in	7.0 mi	Calm	Calm	  -	N/A	Rain	Light Rain
105	12/5/1995 -- 9:00 PM	48.0 °F	44.1 °F	86%	30.12 in	7.0 mi	NNW	3.5 mph	  -	N/A	"	 "	Unknown
106	12/5/1995 -- 10:00 PM	48.0 °F	44.1 °F	86%	30.13 in	6.0 mi	NW	5.8 mph	  -	N/A	Fog	Fog
107	12/5/1995 -- 11:00 PM	46.9 °F	44.1 °F	90%	30.10 in	6.0 mi	Calm	Calm	  -	N/A	Fog	Fog
108	5/19/1995 -- 12:00 AM	75.9 °F	64.0 °F	67%	29.73 in	10.0 mi	SSW	9.2 mph	  -	N/A	"	 "	Mostly Cloudy
109	5/19/1995 -- 1:00 AM	75.9 °F	64.9 °F	69%	29.71 in	10.0 mi	SSW	10.4 mph	  -	N/A	"	 "	Mostly Cloudy
110	5/19/1995 -- 2:00 AM	75.9 °F	66.0 °F	71%	29.71 in	10.0 mi	SSW	9.2 mph	  -	N/A	"	 "	Mostly Cloudy
111	5/19/1995 -- 3:00 AM	75.9 °F	66.9 °F	74%	29.70 in	10.0 mi	SSW	9.2 mph	  -	N/A	"	 "	Overcast
112	5/19/1995 -- 4:00 AM	77.0 °F	66.9 °F	71%	29.67 in	10.0 mi	SSW	13.8 mph	  -	N/A	"	 "	Mostly Cloudy
113	5/19/1995 -- 5:00 AM	75.9 °F	68.0 °F	76%	29.66 in	10.0 mi	SW	11.5 mph	  -	N/A	"	 "	Mostly Cloudy
114	5/19/1995 -- 6:00 AM	75.9 °F	68.0 °F	76%	29.66 in	10.0 mi	SW	11.5 mph	  -	N/A	"	 "	Overcast
115	5/19/1995 -- 6:18 AM	  -	  -	N/A%	29.70 in	7.0 mi	WNW	10.4 mph	  -	N/A	Thunderstorm	Thunderstorm
116	5/19/1995 -- 6:35 AM	  -	  -	N/A%	29.73 in	0.5 mi	WNW	18.4 mph	27.6 mph	N/A	Rain	"	,"
117	5/19/1995 -- 7:00 AM	69.1 °F	69.1 °F	100%	29.70 in	7.0 mi	WSW	10.4 mph	  -	0.27 in	"	 "	Overcast
118	5/19/1995 -- 8:00 AM	68.0 °F	66.0 °F	93%	29.73 in	7.0 mi	West	9.2 mph	  -	0.02 in	Rain	Light Rain
119	5/19/1995 -- 8:24 AM	  -	  -	N/A%	29.79 in	2.0 mi	West	36.8 mph	  -	N/A	Rain	"	,"
120	5/19/1995 -- 8:35 AM	  -	  -	N/A%	29.76 in	4.0 mi	WSW	13.8 mph	  -	N/A	Rain	"	,"
121	5/19/1995 -- 9:00 AM	63.0 °F	63.0 °F	100%	29.74 in	4.0 mi	WSW	11.5 mph	  -	0.23 in	Fog	"	,"
122	5/19/1995 -- 9:14 AM	  -	  -	N/A%	29.74 in	6.0 mi	SW	5.8 mph	  -	N/A	Fog	Fog
123	5/19/1995 -- 10:00 AM	64.9 °F	64.9 °F	100%	29.74 in	6.0 mi	WSW	11.5 mph	  -	N/A	Fog	"	,"
124	5/19/1995 -- 10:04 AM	  -	  -	N/A%	29.75 in	6.0 mi	WSW	11.5 mph	  -	N/A	Fog	"	,"
125	5/19/1995 -- 10:30 AM	  -	  -	N/A%	29.75 in	4.0 mi	SW	9.2 mph	  -	N/A	Fog	"	,"
126	5/19/1995 -- 11:00 AM	66.0 °F	66.0 °F	100%	29.73 in	6.0 mi	SW	4.6 mph	  -	0.13 in	Fog	"	,"
127	5/19/1995 -- 12:00 PM	71.1 °F	68.0 °F	90%	29.71 in	6.0 mi	SW	10.4 mph	  -	N/A	Fog	Fog
128	5/19/1995 -- 12:15 PM	  -	  -	N/A%	29.73 in	6.0 mi	SW	12.7 mph	  -	N/A	Fog	Fog
129	5/19/1995 -- 1:00 PM	73.9 °F	70.0 °F	87%	29.70 in	7.0 mi	SW	13.8 mph	  -	N/A	"	 "	Overcast
130	5/19/1995 -- 2:00 PM	75.9 °F	69.1 °F	79%	29.69 in	7.0 mi	WSW	11.5 mph	  -	N/A	"	 "	Mostly Cloudy
131	5/19/1995 -- 2:22 PM	  -	  -	N/A%	29.68 in	7.0 mi	WSW	10.4 mph	  -	N/A	"	 "	Overcast
132	5/19/1995 -- 3:00 PM	80.1 °F	70.0 °F	71%	29.67 in	7.0 mi	West	6.9 mph	  -	N/A	"	 "	Mostly Cloudy
133	5/19/1995 -- 3:33 PM	  -	  -	N/A%	29.67 in	7.0 mi	SW	10.4 mph	  -	N/A	Rain	"	,"
134	5/19/1995 -- 4:00 PM	73.0 °F	70.0 °F	90%	29.65 in	7.0 mi	SSW	6.9 mph	  -	N/A	Rain	"	,"
135	5/19/1995 -- 5:00 PM	73.0 °F	66.9 °F	81%	29.65 in	7.0 mi	SW	6.9 mph	  -	N/A	"	 "	Overcast
136	5/19/1995 -- 6:00 PM	72.0 °F	66.0 °F	81%	29.66 in	10.0 mi	SSW	6.9 mph	  -	N/A	"	 "	Mostly Cloudy
137	5/19/1995 -- 7:00 PM	71.1 °F	66.9 °F	87%	29.67 in	10.0 mi	SSW	6.9 mph	  -	N/A	"	 "	Overcast
138	5/19/1995 -- 8:00 PM	68.0 °F	66.0 °F	93%	29.70 in	10.0 mi	SW	5.8 mph	  -	N/A	"	 "	Mostly Cloudy
139	5/19/1995 -- 8:30 PM	  -	  -	N/A%	29.75 in	10.0 mi	North	13.8 mph	  -	N/A	"	 "	Scattered Clouds
140	5/19/1995 -- 9:00 PM	68.0 °F	57.0 °F	68%	29.75 in	10.0 mi	North	12.7 mph	  -	N/A	"	 "	Scattered Clouds
141	5/19/1995 -- 10:00 PM	64.9 °F	53.1 °F	65%	29.78 in	10.0 mi	North	10.4 mph	  -	N/A	"	 "	Scattered Clouds
142	5/19/1995 -- 11:00 PM	62.1 °F	52.0 °F	70%	29.81 in	10.0 mi	North	8.1 mph	  -	N/A	"	 "	Clear
143	10/31/1994 -- 12:00 AM	61.0 °F	59.0 °F	93%	30.09 in	15.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
144	10/31/1994 -- 1:00 AM	62.1 °F	60.1 °F	93%	30.08 in	10.0 mi	NNE	4.6 mph	  -	N/A	"	 "	Mostly Cloudy
145	10/31/1994 -- 1:28 AM	  -	  -	N/A%	30.09 in	10.0 mi	North	3.5 mph	  -	N/A	"	 "	Overcast
146	10/31/1994 -- 1:42 AM	  -	  -	N/A%	30.09 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
147	10/31/1994 -- 2:00 AM	62.1 °F	59.0 °F	90%	30.07 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
148	10/31/1994 -- 3:00 AM	63.0 °F	61.0 °F	93%	30.05 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Mostly Cloudy
149	10/31/1994 -- 3:14 AM	  -	  -	N/A%	30.05 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
150	10/31/1994 -- 4:00 AM	63.0 °F	63.0 °F	100%	30.04 in	7.0 mi	Calm	Calm	  -	N/A	"	 "	Overcast
151	10/31/1994 -- 5:00 AM	61.0 °F	60.1 °F	97%	30.04 in	7.0 mi	North	4.6 mph	  -	N/A	"	 "	Overcast
152	10/31/1994 -- 5:02 AM	  -	  -	N/A%	30.05 in	6.0 mi	Calm	Calm	  -	N/A	Fog	Fog
153	10/31/1994 -- 6:00 AM	62.1 °F	60.1 °F	93%	30.05 in	4.0 mi	NNW	3.5 mph	  -	N/A	Fog	Light Drizzle
154	10/31/1994 -- 6:29 AM	  -	  -	N/A%	30.04 in	4.0 mi	NNE	4.6 mph	  -	N/A	Fog	Fog
155	10/31/1994 -- 7:00 AM	61.0 °F	60.1 °F	97%	30.04 in	4.0 mi	Calm	Calm	  -	N/A	Fog	Fog
156	10/31/1994 -- 7:26 AM	  -	  -	N/A%	30.03 in	6.0 mi	Calm	Calm	  -	N/A	Fog	Fog
157	10/31/1994 -- 7:40 AM	  -	  -	N/A%	30.03 in	5.0 mi	NE	4.6 mph	  -	N/A	Fog	Fog
158	10/31/1994 -- 8:00 AM	64.0 °F	62.1 °F	93%	30.03 in	6.0 mi	ESE	3.5 mph	  -	N/A	Fog	Fog
159	10/31/1994 -- 8:25 AM	  -	  -	N/A%	30.04 in	6.0 mi	Calm	Calm	  -	N/A	Fog	Fog
160	10/31/1994 -- 9:00 AM	66.0 °F	64.0 °F	93%	30.04 in	2.0 mi	Calm	Calm	  -	N/A	Fog	Fog
161	10/31/1994 -- 9:02 AM	  -	  -	N/A%	30.04 in	2.0 mi	Calm	Calm	  -	N/A	Fog	Fog
162	10/31/1994 -- 9:26 AM	  -	  -	N/A%	30.04 in	5.0 mi	NE	3.5 mph	  -	N/A	Fog	Light Drizzle
163	10/31/1994 -- 9:40 AM	  -	  -	N/A%	30.04 in	5.0 mi	NW	4.6 mph	  -	N/A	Fog	Fog
164	10/31/1994 -- 10:00 AM	71.1 °F	64.0 °F	78%	30.03 in	5.0 mi	NNW	3.5 mph	  -	N/A	Fog	Fog
165	10/31/1994 -- 11:00 AM	73.0 °F	64.9 °F	76%	30.03 in	6.0 mi	NW	6.9 mph	  -	N/A	Fog	Fog
166	10/31/1994 -- 12:00 PM	73.9 °F	64.9 °F	73%	29.98 in	7.0 mi	NNE	4.6 mph	  -	N/A	"	 "	Overcast
167	10/31/1994 -- 12:10 PM	  -	  -	N/A%	29.97 in	7.0 mi	East	4.6 mph	  -	N/A	"	 "	Overcast
168	10/31/1994 -- 12:35 PM	  -	  -	N/A%	29.96 in	10.0 mi	South	4.6 mph	  -	N/A	"	 "	Overcast
169	10/31/1994 -- 1:00 PM	75.0 °F	64.9 °F	71%	29.94 in	10.0 mi	SSE	4.6 mph	  -	N/A	"	 "	Unknown
170	10/31/1994 -- 2:00 PM	75.9 °F	64.9 °F	69%	29.91 in	10.0 mi	SSW	6.9 mph	  -	N/A	"	 "	Unknown
171	10/31/1994 -- 3:00 PM	78.1 °F	63.0 °F	60%	29.87 in	10.0 mi	WSW	8.1 mph	  -	N/A	"	 "	Mostly Cloudy
172	10/31/1994 -- 4:00 PM	73.9 °F	63.0 °F	68%	29.87 in	10.0 mi	SW	9.2 mph	  -	N/A	"	 "	Mostly Cloudy
173	10/31/1994 -- 5:00 PM	73.0 °F	63.0 °F	71%	29.86 in	10.0 mi	SSW	5.8 mph	  -	N/A	"	 "	Mostly Cloudy
174	10/31/1994 -- 6:00 PM	68.0 °F	63.0 °F	84%	29.86 in	10.0 mi	South	3.5 mph	  -	N/A	"	 "	Mostly Cloudy
175	10/31/1994 -- 7:00 PM	66.0 °F	62.1 °F	87%	29.86 in	10.0 mi	Calm	Calm	  -	N/A	"	 "	Mostly Cloudy
176	10/31/1994 -- 8:00 PM	66.0 °F	63.0 °F	90%	29.85 in	10.0 mi	South	8.1 mph	  -	N/A	"	 "	Partly Cloudy
177	10/31/1994 -- 9:00 PM	66.0 °F	64.0 °F	93%	29.83 in	10.0 mi	South	6.9 mph	  -	N/A	"	 "	Overcast
178	10/31/1994 -- 10:00 PM	66.0 °F	64.0 °F	93%	29.81 in	9.0 mi	South	8.1 mph	  -	N/A	"	 "	Scattered Clouds
179	10/31/1994 -- 11:00 PM	64.9 °F	64.0 °F	97%	29.79 in	6.0 mi	South	8.1 mph	  -	N/A	"	 "	Smoke
180	4/14/1994 -- 12:00 AM	69.1 °F	62.1 °F	78%	29.85 in	15.0 mi	WSW	6.9 mph	  -	N/A	"	 "	Mostly Cloudy
181	4/14/1994 -- 1:00 AM	66.9 °F	57.0 °F	70%	29.87 in	10.0 mi	WSW	6.9 mph	  -	N/A	"	 "	Partly Cloudy
