Timestamp,WU Local time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Direction,Wind Speed,Gust Speed,Precipitation,Events,Conditions
1498917360,7/1/2017 6:56 AM,55.4 °F,50.0 °F,82%,29.97 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
1498679220,6/28/2017 12:47 PM,78.8 °F,53.6 °F,42%,29.96 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
1498682820,6/28/2017 1:47 PM,78.8 °F,55.4 °F,44%,29.94 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Clear
1498686900,6/28/2017 2:55 PM,77.0 °F,55.4 °F,47%,29.93 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Clear
1498690500,6/28/2017 3:55 PM,77.0 °F,55.4 °F,47%,29.92 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Clear
1498694100,6/28/2017 4:55 PM,75.2 °F,55.4 °F,50%,29.91 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
1498697700,6/28/2017 5:55 PM,75.2 °F,55.4 °F,50%,29.91 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
1498704420,6/28/2017 7:47 PM,69.8 °F,53.6 °F,56%,29.92 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
1498708020,6/28/2017 8:47 PM,64.4 °F,53.6 °F,68%,29.95 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
1498711620,6/28/2017 9:47 PM,60.8 °F,53.6 °F,77%,29.96 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
1498571700,6/27/2017 6:55 AM,60.8 °F,55.4 °F,82%,30.00 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Overcast
1498575300,6/27/2017 7:55 AM,60.8 °F,53.6 °F,77%,30.01 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Overcast
1498578420,6/27/2017 8:47 AM,62.6 °F,53.6 °F,72%,30.01 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1498582020,6/27/2017 9:47 AM,64.4 °F,53.6 °F,68%,30.01 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1498585620,6/27/2017 10:47 AM,68.0 °F,53.6 °F,60%,30.00 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1498589220,6/27/2017 11:47 AM,71.6 °F,53.6 °F,53%,29.99 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
1498593180,6/27/2017 12:53 PM,73.4 °F,55.4 °F,53%,29.98 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
1498596900,6/27/2017 1:55 PM,75.2 °F,55.4 °F,50%,29.97 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Clear
1498600200,6/27/2017 2:50 PM,75.2 °F,55.4 °F,50%,29.97 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Clear
1498603620,6/27/2017 3:47 PM,75.2 °F,55.4 °F,50%,29.96 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
1498607220,6/27/2017 4:47 PM,75.2 °F,55.4 °F,50%,29.95 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
1498611000,6/27/2017 5:50 PM,73.4 °F,53.6 °F,50%,29.94 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
1498614420,6/27/2017 6:47 PM,71.6 °F,53.6 °F,53%,29.94 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
1498621620,6/27/2017 8:47 PM,60.8 °F,53.6 °F,77%,29.96 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
1498625220,6/27/2017 9:47 PM,59.0 °F,53.6 °F,82%,29.98 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
1498484820,6/26/2017 6:47 AM,60.8 °F,53.6 °F,77%,30.05 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
1498488420,6/26/2017 7:47 AM,62.6 °F,53.6 °F,72%,30.06 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Overcast
1498492020,6/26/2017 8:47 AM,64.4 °F,53.6 °F,68%,30.06 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1498495620,6/26/2017 9:47 AM,68.0 °F,53.6 °F,60%,30.06 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
1498499940,6/26/2017 10:59 AM,69.8 °F,53.6 °F,56%,30.07 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
1498503540,6/26/2017 11:59 AM,73.4 °F,53.6 °F,50%,30.06 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
1498507140,6/26/2017 12:59 PM,75.2 °F,53.6 °F,47%,30.05 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Clear
1498510200,6/26/2017 1:50 PM,77.0 °F,55.4 °F,47%,30.04 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Clear
1498517400,6/26/2017 3:50 PM,77.0 °F,55.4 °F,47%,30.02 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
1498521540,6/26/2017 4:59 PM,77.0 °F,55.4 °F,47%,30.00 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
1498524420,6/26/2017 5:47 PM,75.2 °F,55.4 °F,50%,29.92 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
1498528020,6/26/2017 6:47 PM,73.4 °F,55.4 °F,53%,29.99 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
1498531620,6/26/2017 7:47 PM,69.8 °F,55.4 °F,60%,30.00 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
1498539240,6/26/2017 9:54 PM,62.6 °F,55.4 °F,77%,30.03 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Clear
1498398420,6/25/2017 6:47 AM,60.8 °F,55.4 °F,82%,29.99 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Overcast
1498402020,6/25/2017 7:47 AM,60.8 °F,55.4 °F,82%,30.00 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Overcast
1498405620,6/25/2017 8:47 AM,62.6 °F,55.4 °F,77%,30.02 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Overcast
1498409220,6/25/2017 9:47 AM,68.0 °F,55.4 °F,64%,30.02 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Scattered Clouds
1498412820,6/25/2017 10:47 AM,69.8 °F,55.4 °F,60%,30.02 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Partly Cloudy
1498416420,6/25/2017 11:47 AM,71.6 °F,55.4 °F,57%,30.02 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
1498420020,6/25/2017 12:47 PM,75.2 °F,55.4 °F,50%,30.02 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Clear
1498423800,6/25/2017 1:50 PM,75.2 °F,57.2 °F,53%,30.01 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Clear
1498427220,6/25/2017 2:47 PM,77.0 °F,57.2 °F,50%,30.01 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Clear
1498438020,6/25/2017 5:47 PM,73.4 °F,57.2 °F,57%,29.98 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
1498441680,6/25/2017 6:48 PM,71.6 °F,55.4 °F,57%,29.98 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
1498445220,6/25/2017 7:47 PM,68.0 °F,55.4 °F,64%,30.00 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Clear
1498449480,6/25/2017 8:58 PM,64.4 °F,55.4 °F,73%,30.01 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Clear
1498452420,6/25/2017 9:47 PM,62.6 °F,53.6 °F,72%,30.03 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Clear
1498312020,6/24/2017 6:47 AM,62.6 °F,57.2 °F,82%,29.98 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Overcast
1498315620,6/24/2017 7:47 AM,64.4 °F,57.2 °F,77%,29.98 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Overcast
1498319220,6/24/2017 8:47 AM,66.2 °F,57.2 °F,73%,29.99 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Overcast
1498322820,6/24/2017 9:47 AM,68.0 °F,59.0 °F,73%,29.99 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1498326420,6/24/2017 10:47 AM,69.8 °F,57.2 °F,64%,29.98 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Scattered Clouds
1498330020,6/24/2017 11:47 AM,73.4 °F,59.0 °F,61%,29.98 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Scattered Clouds
1498333620,6/24/2017 12:47 PM,77.0 °F,57.2 °F,50%,29.95 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1498337940,6/24/2017 1:59 PM,80.6 °F,57.2 °F,45%,29.94 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1498340820,6/24/2017 2:47 PM,80.6 °F,59.0 °F,48%,29.93 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
1498344540,6/24/2017 3:49 PM,78.8 °F,59.0 °F,51%,29.93 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
1498348620,6/24/2017 4:57 PM,77.0 °F,57.2 °F,50%,29.93 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1498351620,6/24/2017 5:47 PM,75.2 °F,57.2 °F,53%,29.92 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Overcast
1498355940,6/24/2017 6:59 PM,73.4 °F,57.2 °F,57%,29.94 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Overcast
1498359540,6/24/2017 7:59 PM,69.8 °F,57.2 °F,64%,29.95 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1498362420,6/24/2017 8:47 PM,68.0 °F,57.2 °F,68%,29.95 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1498366020,6/24/2017 9:47 PM,64.4 °F,57.2 °F,77%,29.96 in,8.0 mi,WNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1498225680,6/23/2017 6:48 AM,62.6 °F,55.4 °F,77%,29.90 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498229400,6/23/2017 7:50 AM,66.2 °F,55.4 °F,68%,29.91 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498232820,6/23/2017 8:47 AM,69.8 °F,57.2 °F,64%,29.92 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498236900,6/23/2017 9:55 AM,73.4 °F,57.2 °F,57%,29.92 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498240500,6/23/2017 10:55 AM,78.8 °F,57.2 °F,47%,29.92 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498243620,6/23/2017 11:47 AM,82.4 °F,57.2 °F,42%,29.91 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498247220,6/23/2017 12:47 PM,86.0 °F,66.2 °F,51%,29.90 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498250820,6/23/2017 1:47 PM,86.0 °F,60.8 °F,43%,2.89 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Clear
1498254420,6/23/2017 2:47 PM,86.0 °F,66.2 °F,51%,29.89 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Clear
1498258500,6/23/2017 3:55 PM,84.2 °F,60.8 °F,45%,29.89 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
1498262340,6/23/2017 4:59 PM,82.4 °F,62.6 °F,51%,29.89 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Clear
1498265340,6/23/2017 5:49 PM,82.4 °F,59.0 °F,45%,29.89 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
1498272780,6/23/2017 7:53 PM,75.2 °F,59.0 °F,57%,29.91 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
1498276020,6/23/2017 8:47 PM,69.8 °F,59.0 °F,68%,29.94 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Clear
1498279620,6/23/2017 9:47 PM,68.0 °F,59.0 °F,73%,29.95 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498139400,6/22/2017 6:50 AM,71.6 °F,59.0 °F,64%,29.72 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498142820,6/22/2017 7:47 AM,75.2 °F,59.0 °F,57%,29.74 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498146420,6/22/2017 8:47 AM,78.8 °F,59.0 °F,51%,29.75 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498150200,6/22/2017 9:50 AM,86.0 °F,60.8 °F,43%,29.75 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Clear
1498154100,6/22/2017 10:55 AM,93.2 °F,60.8 °F,34%,29.75 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498157220,6/22/2017 11:47 AM,95.0 °F,57.2 °F,28%,29.74 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498160820,6/22/2017 12:47 PM,100.4 °F,57.2 °F,24%,29.73 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498164420,6/22/2017 1:47 PM,100.4 °F,57.2 °F,24%,29.72 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Clear
1498168080,6/22/2017 2:48 PM,102.2 °F,57.2 °F,22%,29.72 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Clear
1498171800,6/22/2017 3:50 PM,98.6 °F,57.2 °F,25%,29.72 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
1498175220,6/22/2017 4:47 PM,96.8 °F,59.0 °F,28%,29.72 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
1498179000,6/22/2017 5:50 PM,91.4 °F,59.0 °F,34%,29.73 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
1498182420,6/22/2017 6:47 PM,86.0 °F,60.8 °F,43%,29.76 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
1498186020,6/22/2017 7:47 PM,80.6 °F,59.0 °F,48%,29.78 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
1498189620,6/22/2017 8:47 PM,75.2 °F,59.0 °F,57%,29.80 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
1498193220,6/22/2017 9:47 PM,73.4 °F,57.2 °F,57%,29.81 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498052820,6/21/2017 6:47 AM,60.8 °F,53.6 °F,77%,29.84 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Clear
1498056600,6/21/2017 7:50 AM,62.6 °F,53.6 °F,72%,29.84 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498063860,6/21/2017 9:51 AM,71.6 °F,55.4 °F,57%,29.83 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498067940,6/21/2017 10:59 AM,77.0 °F,55.4 °F,47%,29.81 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Clear
1498070820,6/21/2017 11:47 AM,82.4 °F,55.4 °F,39%,29.80 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Clear
1498074420,6/21/2017 12:47 PM,87.8 °F,57.2 °F,35%,29.77 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Clear
1498078200,6/21/2017 1:50 PM,91.4 °F,57.2 °F,31%,29.75 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
1498081800,6/21/2017 2:50 PM,95.0 °F,59.0 °F,30%,29.72 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498085640,6/21/2017 3:54 PM,95.0 °F,62.6 °F,34%,29.70 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Clear
1498088880,6/21/2017 4:48 PM,89.6 °F,60.8 °F,38%,29.70 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Clear
1498092600,6/21/2017 5:50 PM,89.6 °F,60.8 °F,38%,29.70 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Clear
1498096200,6/21/2017 6:50 PM,87.8 °F,59.0 °F,38%,29.71 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
1498099800,6/21/2017 7:50 PM,86.0 °F,59.0 °F,40%,29.71 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
1498103400,6/21/2017 8:50 PM,82.4 °F,59.0 °F,45%,29.71 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Clear
1498106820,6/21/2017 9:47 PM,78.8 °F,60.8 °F,54%,29.72 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Clear
1497966420,6/20/2017 6:47 AM,66.2 °F,55.4 °F,68%,29.87 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1497973620,6/20/2017 8:47 AM,73.4 °F,57.2 °F,57%,29.88 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1497977220,6/20/2017 9:47 AM,78.8 °F,57.2 °F,47%,29.88 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1497980820,6/20/2017 10:47 AM,84.2 °F,57.2 °F,40%,29.87 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Clear
1497984420,6/20/2017 11:47 AM,89.6 °F,57.2 °F,33%,29.86 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Clear
1497988020,6/20/2017 12:47 PM,93.2 °F,57.2 °F,30%,29.85 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Clear
1497991800,6/20/2017 1:50 PM,91.4 °F,62.6 °F,38%,29.84 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Clear
1497995640,6/20/2017 2:54 PM,89.6 °F,60.8 °F,38%,29.83 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Clear
1497999000,6/20/2017 3:50 PM,89.6 °F,62.6 °F,40%,29.82 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Clear
1498002600,6/20/2017 4:50 PM,86.0 °F,59.0 °F,40%,29.83 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
1498006200,6/20/2017 5:50 PM,86.0 °F,59.0 °F,40%,29.82 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
1498009800,6/20/2017 6:50 PM,80.6 °F,57.2 °F,45%,29.83 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
1498013880,6/20/2017 7:58 PM,75.2 °F,57.2 °F,53%,29.84 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
1498017000,6/20/2017 8:50 PM,69.8 °F,57.2 °F,64%,29.85 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Clear
1498017240,6/20/2017 8:54 PM,68.0 °F,53.6 °F,60%,29.86 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Clear
1497880020,6/19/2017 6:47 AM,71.6 °F,57.2 °F,60%,29.82 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
1497883620,6/19/2017 7:47 AM,77.0 °F,59.0 °F,54%,29.83 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
1497887220,6/19/2017 8:47 AM,78.8 °F,59.0 °F,51%,29.83 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1497890820,6/19/2017 9:47 AM,84.2 °F,59.0 °F,42%,29.83 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
