Timestamp,WU Local time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Direction,Wind Speed,Gust Speed,Precipitation,Events,Conditions
1498913220,7/1/2017 5:47 AM,75.2 °F,30.2 °F,19%,29.79 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498686420,6/28/2017 2:47 PM,104.0 °F,39.2 °F,11%,29.75 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Clear
1498690020,6/28/2017 3:47 PM,105.8 °F,39.2 °F,10%,29.72 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
1498693620,6/28/2017 4:47 PM,105.8 °F,39.2 °F,10%,29.69 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Clear
1498697220,6/28/2017 5:47 PM,105.8 °F,39.2 °F,10%,29.68 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Clear
1498700820,6/28/2017 6:47 PM,105.8 °F,37.4 °F,10%,29.68 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Clear
1498704420,6/28/2017 7:47 PM,102.2 °F,41.0 °F,12%,29.70 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Clear
1498708020,6/28/2017 8:47 PM,98.6 °F,42.8 °F,15%,29.71 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Clear
1498567620,6/27/2017 5:47 AM,86.0 °F,33.8 °F,15%,29.83 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Clear
1498571220,6/27/2017 6:47 AM,87.8 °F,41.0 °F,19%,29.85 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Clear
1498574820,6/27/2017 7:47 AM,93.2 °F,46.4 °F,20%,29.86 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Clear
1498578420,6/27/2017 8:47 AM,98.6 °F,33.8 °F,10%,29.86 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Clear
1498582020,6/27/2017 9:47 AM,100.4 °F,30.2 °F,9%,29.85 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Clear
1498585620,6/27/2017 10:47 AM,104.0 °F,23.0 °F,6%,29.84 in,10.0 mi,SW,21.9 mph,  -,N/A,	 ,Clear
1498589220,6/27/2017 11:47 AM,105.8 °F,23.0 °F,5%,29.83 in,10.0 mi,SW,16.1 mph,  -,N/A,	 ,Clear
1498592820,6/27/2017 12:47 PM,105.8 °F,17.6 °F,4%,29.81 in,10.0 mi,WSW,16.1 mph,  -,N/A,	 ,Clear
1498596420,6/27/2017 1:47 PM,105.8 °F,21.2 °F,5%,29.79 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Clear
1498600020,6/27/2017 2:47 PM,105.8 °F,26.6 °F,6%,29.78 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Clear
1498603620,6/27/2017 3:47 PM,107.6 °F,26.6 °F,6%,29.74 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Clear
1498607220,6/27/2017 4:47 PM,107.6 °F,28.4 °F,6%,29.72 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Clear
1498610820,6/27/2017 5:47 PM,107.6 °F,21.2 °F,5%,29.69 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Clear
1498614420,6/27/2017 6:47 PM,105.8 °F,23.0 °F,5%,29.69 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Clear
1498618020,6/27/2017 7:47 PM,100.4 °F,26.6 °F,7%,29.69 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Clear
1498621620,6/27/2017 8:47 PM,96.8 °F,28.4 °F,9%,29.70 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Clear
1498481220,6/26/2017 5:47 AM,87.8 °F,55.4 °F,33%,29.93 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498484820,6/26/2017 6:47 AM,91.4 °F,57.2 °F,31%,29.94 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498488420,6/26/2017 7:47 AM,93.2 °F,57.2 °F,30%,29.96 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Clear
1498492020,6/26/2017 8:47 AM,93.2 °F,57.2 °F,30%,29.96 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Clear
1498495620,6/26/2017 9:47 AM,98.6 °F,55.4 °F,24%,29.94 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
1498499220,6/26/2017 10:47 AM,100.4 °F,53.6 °F,21%,29.93 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498502820,6/26/2017 11:47 AM,  -,  -,N/A%,29.90 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Clear
1498506420,6/26/2017 12:47 PM,102.2 °F,53.6 °F,20%,29.89 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498510020,6/26/2017 1:47 PM,104.0 °F,53.6 °F,19%,29.86 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Clear
1498513620,6/26/2017 2:47 PM,105.8 °F,51.8 °F,17%,29.83 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
1498517220,6/26/2017 3:47 PM,109.4 °F,44.6 °F,11%,29.80 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
1498520820,6/26/2017 4:47 PM,109.4 °F,37.4 °F,9%,29.77 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Clear
1498524420,6/26/2017 5:47 PM,109.4 °F,39.2 °F,9%,29.76 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Clear
1498528020,6/26/2017 6:47 PM,107.6 °F,39.2 °F,10%,29.75 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Clear
1498531620,6/26/2017 7:47 PM,104.0 °F,39.2 °F,11%,29.75 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Clear
1498535220,6/26/2017 8:47 PM,100.4 °F,39.2 °F,12%,29.76 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Clear
1498394820,6/25/2017 5:47 AM,87.8 °F,57.2 °F,35%,29.83 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Clear
1498398420,6/25/2017 6:47 AM,91.4 °F,57.2 °F,31%,29.86 in,10.0 mi,North,  -,  -,N/A,	 ,Clear
1498402020,6/25/2017 7:47 AM,95.0 °F,57.2 °F,28%,29.88 in,10.0 mi,East,17.3 mph,26.5 mph,N/A,	 ,Clear
1498405620,6/25/2017 8:47 AM,96.8 °F,57.2 °F,27%,29.88 in,10.0 mi,ESE,13.8 mph,  -,N/A,	 ,Clear
1498412820,6/25/2017 10:47 AM,105.8 °F,48.2 °F,14%,29.88 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Clear
1498416420,6/25/2017 11:47 AM,107.6 °F,46.4 °F,13%,29.87 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Clear
1498420020,6/25/2017 12:47 PM,107.6 °F,44.6 °F,12%,29.85 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498423620,6/25/2017 1:47 PM,111.2 °F,39.2 °F,9%,29.82 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Clear
1498427220,6/25/2017 2:47 PM,111.2 °F,39.2 °F,9%,29.80 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Clear
1498430820,6/25/2017 3:47 PM,113.0 °F,41.0 °F,9%,29.77 in,10.0 mi,WSW,16.1 mph,  -,N/A,	 ,Clear
1498434420,6/25/2017 4:47 PM,113.0 °F,39.2 °F,8%,29.75 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Clear
1498438020,6/25/2017 5:47 PM,113.0 °F,39.2 °F,8%,29.74 in,10.0 mi,WNW,13.8 mph,23.0 mph,N/A,	 ,Clear
1498441620,6/25/2017 6:47 PM,111.2 °F,32.0 °F,7%,29.75 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Clear
1498445220,6/25/2017 7:47 PM,107.6 °F,32.0 °F,7%,29.75 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
1498448820,6/25/2017 8:47 PM,102.2 °F,42.8 °F,13%,29.78 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Clear
1498312020,6/24/2017 6:47 AM,84.2 °F,51.8 °F,33%,29.78 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Clear
1498315620,6/24/2017 7:47 AM,87.8 °F,55.4 °F,33%,29.80 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Clear
1498319220,6/24/2017 8:47 AM,95.0 °F,51.8 °F,23%,29.80 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Clear
1498322820,6/24/2017 9:47 AM,100.4 °F,48.2 °F,17%,29.80 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Clear
1498326420,6/24/2017 10:47 AM,104.0 °F,46.4 °F,14%,29.79 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
1498330020,6/24/2017 11:47 AM,107.6 °F,44.6 °F,12%,29.78 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
1498333620,6/24/2017 12:47 PM,109.4 °F,41.0 °F,10%,29.75 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Clear
1498337220,6/24/2017 1:47 PM,111.2 °F,41.0 °F,9%,29.73 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Clear
1498344420,6/24/2017 3:47 PM,118.4 °F,44.6 °F,9%,29.68 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Clear
1498348020,6/24/2017 4:47 PM,114.8 °F,37.4 °F,7%,29.66 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Clear
1498351620,6/24/2017 5:47 PM,114.8 °F,33.8 °F,6%,29.66 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Clear
1498355220,6/24/2017 6:47 PM,111.2 °F,35.6 °F,8%,29.67 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Clear
1498358820,6/24/2017 7:47 PM,105.8 °F,39.2 °F,10%,29.69 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Clear
1498362420,6/24/2017 8:47 PM,102.2 °F,41.0 °F,12%,29.71 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Clear
1498222020,6/23/2017 5:47 AM,84.2 °F,59.0 °F,42%,29.80 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498225620,6/23/2017 6:47 AM,87.8 °F,59.0 °F,38%,29.81 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498229220,6/23/2017 7:47 AM,89.6 °F,59.0 °F,36%,29.82 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498232820,6/23/2017 8:47 AM,93.2 °F,59.0 °F,32%,29.83 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498236420,6/23/2017 9:47 AM,95.0 °F,57.2 °F,28%,29.82 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498240020,6/23/2017 10:47 AM,98.6 °F,57.2 °F,25%,29.82 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Clear
1498243620,6/23/2017 11:47 AM,100.4 °F,55.4 °F,22%,29.81 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
1498247220,6/23/2017 12:47 PM,104.0 °F,53.6 °F,19%,29.79 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Clear
1498250820,6/23/2017 1:47 PM,105.8 °F,53.6 °F,18%,29.77 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Clear
1498254420,6/23/2017 2:47 PM,107.6 °F,50.0 °F,15%,29.75 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498262100,6/23/2017 4:55 PM,111.2 °F,42.8 °F,10%,29.70 in,10.0 mi,WSW,17.3 mph,  -,N/A,	 ,Clear
1498265220,6/23/2017 5:47 PM,111.2 °F,41.0 °F,9%,29.69 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Clear
1498268820,6/23/2017 6:47 PM,109.4 °F,42.8 °F,11%,29.69 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Clear
1498272420,6/23/2017 7:47 PM,104.0 °F,44.6 °F,13%,29.70 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Clear
1498276800,6/23/2017 9:00 PM,102.2 °F,42.8 °F,13%,29.71 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Clear
1498135620,6/22/2017 5:47 AM,84.2 °F,50.0 °F,30%,29.72 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498139220,6/22/2017 6:47 AM,87.8 °F,53.6 °F,31%,29.74 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Clear
1498142820,6/22/2017 7:47 AM,91.4 °F,57.2 °F,31%,29.76 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498146420,6/22/2017 8:47 AM,95.0 °F,51.8 °F,23%,29.77 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498150020,6/22/2017 9:47 AM,98.6 °F,50.0 °F,19%,29.77 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498153620,6/22/2017 10:47 AM,100.4 °F,50.0 °F,18%,29.77 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498157220,6/22/2017 11:47 AM,104.0 °F,46.4 °F,14%,29.76 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498160820,6/22/2017 12:47 PM,105.8 °F,46.4 °F,14%,29.74 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
1498164420,6/22/2017 1:47 PM,107.6 °F,44.6 °F,12%,29.71 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Clear
1498168020,6/22/2017 2:47 PM,109.4 °F,44.6 °F,11%,29.70 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Clear
1498171620,6/22/2017 3:47 PM,111.2 °F,44.6 °F,11%,29.68 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Clear
1498175220,6/22/2017 4:47 PM,111.2 °F,41.0 °F,9%,29.65 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Clear
1498178820,6/22/2017 5:47 PM,109.4 °F,42.8 °F,11%,29.64 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Clear
1498182420,6/22/2017 6:47 PM,107.6 °F,46.4 °F,13%,29.65 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Clear
1498186020,6/22/2017 7:47 PM,104.0 °F,46.4 °F,14%,29.66 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Clear
1498189620,6/22/2017 8:47 PM,102.2 °F,46.4 °F,15%,29.67 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Clear
1498049220,6/21/2017 5:47 AM,84.2 °F,51.8 °F,33%,29.71 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498052820,6/21/2017 6:47 AM,91.4 °F,50.0 °F,24%,29.72 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498056420,6/21/2017 7:47 AM,93.2 °F,50.0 °F,23%,29.74 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1498060020,6/21/2017 8:47 AM,98.6 °F,46.4 °F,17%,29.75 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Clear
1498063620,6/21/2017 9:47 AM,100.4 °F,44.6 °F,15%,29.74 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498067220,6/21/2017 10:47 AM,104.0 °F,44.6 °F,13%,29.73 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498070820,6/21/2017 11:47 AM,107.6 °F,41.0 °F,10%,29.72 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Clear
1498074420,6/21/2017 12:47 PM,109.4 °F,39.2 °F,9%,29.68 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Clear
1498078020,6/21/2017 1:47 PM,113.0 °F,39.2 °F,8%,29.66 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
1498081620,6/21/2017 2:47 PM,114.8 °F,41.0 °F,8%,29.63 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
1498085400,6/21/2017 3:50 PM,116.6 °F,37.4 °F,7%,29.60 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
1498088820,6/21/2017 4:47 PM,116.6 °F,33.8 °F,6%,29.58 in,10.0 mi,SW,17.3 mph,  -,N/A,	 ,Clear
1498092420,6/21/2017 5:47 PM,114.8 °F,37.4 °F,7%,29.57 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Clear
1498096020,6/21/2017 6:47 PM,111.2 °F,37.4 °F,8%,29.58 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Clear
1498099620,6/21/2017 7:47 PM,107.6 °F,39.2 °F,10%,29.58 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Clear
1498103220,6/21/2017 8:47 PM,102.2 °F,39.2 °F,11%,29.59 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Clear
1497962820,6/20/2017 5:47 AM,80.6 °F,48.2 °F,32%,29.77 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Clear
1497966420,6/20/2017 6:47 AM,84.2 °F,48.2 °F,29%,29.78 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Clear
1497970020,6/20/2017 7:47 AM,87.8 °F,46.4 °F,24%,29.79 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1497973620,6/20/2017 8:47 AM,102.2 °F,42.8 °F,13%,29.80 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1497977220,6/20/2017 9:47 AM,104.0 °F,35.6 °F,9%,29.80 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1497980820,6/20/2017 10:47 AM,107.6 °F,33.8 °F,8%,29.80 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1497984420,6/20/2017 11:47 AM,111.2 °F,32.0 °F,7%,29.78 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Clear
1497988020,6/20/2017 12:47 PM,113.0 °F,32.0 °F,6%,29.76 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Clear
1497991620,6/20/2017 1:47 PM,114.8 °F,33.8 °F,6%,29.73 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Clear
1497995220,6/20/2017 2:47 PM,116.6 °F,33.8 °F,6%,29.70 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
1497998820,6/20/2017 3:47 PM,116.6 °F,33.8 °F,6%,29.68 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Clear
1498002420,6/20/2017 4:47 PM,118.4 °F,32.0 °F,5%,29.66 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Clear
1498006020,6/20/2017 5:47 PM,116.6 °F,30.2 °F,5%,29.65 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
1498009620,6/20/2017 6:47 PM,114.8 °F,33.8 °F,6%,29.64 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Clear
